Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
일어서다,立ち上がる,Stand Up,기억하다,覚えている,remember,복잡하다,複雑だ、混雑している,Complex/Crowded,정리하다,整理する,Organize,급하다,急だ、緊急だ、急がれる,Urgent,멋지다,素敵だ,nice,붙다,くっつく,Stick,사인하다,サインする,Sign,시작하다,始める,Start,모두 일어서 주세요.,みんな立ち上がってください。,Please stand up everyone.,たちあがる
안녕하요,こんにちは,Hello,걱정하다,心配する,Worry,줄다,減る,Decrease,따르다,従う,Follow,치료하다,治療する,Treat,만지다,触る、触れる,Touch,졸업하다,卒業する,Graduate,예쁘다,きれいだ,Pretty,남기다,残す,Leave Behind,안녕하세요?,こんにちは。,Hello.,こんにちは
열리다,開かれる,Be Opened,자다,寝る,Sleep,못하다,できない,Can't/Unable to,늦다,(時間的に)遅い、遅れる,Late,외출하다,外出する,Go Out,깨뜨리다,壊す,break (an object),배부르다,お腹いっぱいだ、満腹だ,Full,안내하다,案内する,Guide,급하다,急だ、緊急だ、急がれる,Urgent,회의가 열렸어요.,会議が開かれました。,The meeting was held.,ひらかれる
다니다,通う,Attend,까맣다,黒い,Black,소개하다,紹介する,Introduce,괜찮다,大丈夫だ、構わない,It's Okay,그치다,終わる、止む,End,닫다,閉める,Close,이야기하다,話す,Talk,어울리다,似合う,Match,고맙습니다,ありがとうございます,Thank you,학교를 다니고 있어요.,学校に通っています。,I am attending school.,かよう
일하다,働く,Work,사용하다,使用する,Use,편하다,楽だ,Comfortable,졸업하다,卒業する,Graduate,크다,大きい,Big,깨지다,割れる、壊れる,Break/Broken,이렇다,こうだ,Be Like This,추다,踊る,Dance,취직하다,就職する,Get a Job,매일 열심히 일해요.,毎日一生懸命働きます。,I work hard every day.,はたらく
촬영하다,撮影する,Film,눈치채다,気付く,notice,매다,結ぶ、締める,Tie/Buckle,넓다,広い,Wide,쉽다,簡単だ,Easy,걸어가다,歩いて行く,Walk to,깨다,割る、壊す,Break,풀다,解く,Untie,가열하다,加熱する,heat up,영화를 촬영했어요.,映画を撮影しました。,I filmed a movie.,さつえいする
따뜻하다,暖かい,Warm,가지다,持つ,Have,처음 뵙겠습니다,初めまして,Nice to meet you,감사드립니다,ありがとうございます,Thank you very much,이용하다,利用する,Use,맞다,合う、合っている、正しい,Fit/Be Correct/Be Right,하얗다,白い,White,생각되다,考えられる,Be Considered,결혼하다,結婚する,Marry,날씨가 따뜻해요.,天気が暖かいです。,The weather is warm.,あたたかい
나누다,分ける,Divide/Share,나쁘다,悪い,Bad,기쁘다,嬉しい,Happy,맞아요,その通りです,That's Right (informal),어울리다,似合う,Match,그렇습니다,そうです,That's right (formal),부탁하다,依頼する,Request,옮기다,移す,Move,행복하다,幸せだ,Happy,사과를 나눠 먹었어요。,リンゴを分けて食べました。,We shared apples.,わける
뜨다,(目を)開く,Open (eyes),지키다,守る,Protect,맞아요,その通りです,That's Right (informal),빨갛다,赤い,Red,쉬다,休む,Rest,끄다,消す、止める,Turn Off,죽다,死ぬ,Die,화내다,怒る,Get Angry (Actively),구하다,求める、手に入れる,Seek,눈을 뜨고 아침을 맞이했어요.,目を開けて朝を迎えました。,I opened my eyes and welcomed the morning.,ひらく
넘다,越える、過ぎる,Exceed/Surpass,눈치채다,気付く,notice,만나다,会う,Meet,들어가다,入って行く、入る,Enter,즐거워하다,楽しがる,Enjoy,춤추다,踊る,Dance,건너가다,渡って行く,Cross Over,짓다,作る,Make,아프다,痛い,Hurt,산을 넘었어요。,山を越えました。,I have crossed the mountain.,こえる
