Correct_Korean,Correct_Japanese,Correct_English,Choice1_Korean,Choice1_Japanese,Choice1_English,Choice2_Korean,Choice2_Japanese,Choice2_English,Choice3_Korean,Choice3_Japanese,Choice3_English,Choice4_Korean,Choice4_Japanese,Choice4_English,Choice5_Korean,Choice5_Japanese,Choice5_English,Choice6_Korean,Choice6_Japanese,Choice6_English,Choice7_Korean,Choice7_Japanese,Choice7_English,Choice8_Korean,Choice8_Japanese,Choice8_English,Example_Sentence,Example_Sentence_Meaning,Example_Sentence_Meaning_English,Correct_Hiragana
만족하다,満足する,satisfied,틀리다,間違う,Be Wrong,물어보다,尋ねてみる、聞いてみる、聞く,Ask/Try Asking,화나다,怒る,Get Angry,외출하다,外出する,Go Out,죄송하다,申し訳ない,Sorry,많다,多い,Many/Many of,늘다,増える、増す,Increase,초대하다,招待する,Invite,결과에 만족해요.,結果に満足しています。,I'm satisfied with the result.,まんぞくする
켜다,つける,Turn On,틀리다,間違う,Be Wrong,도착하다,到着する、着く,Arrive,다니다,通う,Attend,붙이다,つける,Attach,걸어오다,歩いて来る,Walk to Here,부지런하다,勤勉だ,Diligent,입원하다,入院する,Be Hospitalized,세우다,たてる,Build,불을 켰어요.,明かりをつけました。,I turned on the light.,つける
나빠지다,悪くなる,Worsen,얘기하다,話す,Talk,편하다,楽だ,Comfortable,빼다,のける、引く、抜く,Take Out,입다,着る,Wear,끝내다,終える、済ませる,Finish,쉽다,簡単だ,Easy,닦다,磨く、拭く,Wash/Clean,웃기다,笑わせる,Make Someone Laugh,날씨가 나빠졌어요。,天気が悪くなりました。,The weather has worsened.,わるくなる
노력하다,努力する,Make an Effort,모르겠습니다,知りません、わかりません,Don't Know/Don't Understand,샤워하다,シャワーする,Take a Shower,체험하다,体験する,experience (hands-on),알맞다,ふさわしい,Suitable,지다,負ける,Lose,좋다,良い,Good,도착하다,到着する、着く,Arrive,멋있다,かっこいい,cool,시험을 위해 열심히 노력했어요。,試験のために一生懸命努力しました。,I made a great effort for the exam.,どりょくする
닦다,磨く、拭く,Wash/Clean,살다,生きる,Live,곱다,美しい,Beautiful,조심하다,注意する,Be Careful,아프다,痛い,Hurt,부드럽다,柔らかい,Soft,못하다,できない,Can't/Unable to,청소하다,掃除する,Clean,시작되다,始まる,Begin,손을 깨끗이 닦으세요.,手をきれいに拭いてください。,Please wash your hands clean.,みがく、ふく
감사드립니다,ありがとうございます,Thank you very much,내려오다,下がって来る、降りて来る,Come Down/Descend,쉽다,簡単だ,Easy,잃어버리다,失くしてしまう,Lose Completely,질문하다,質問する,Ask a Question,착하다,やさしい,Kind,고치다,直す,Fix,전하다,伝える,Deliver,지나다,過ぎる,Pass,감사드립니다.,ありがとうございます。,Thank you very much.,ありがとうございます
듣다,聞く,Listen,죄송하다,申し訳ない,Sorry,찾다,探す,Find,선택하다,選択する,Select,돌아오다,帰って来る,Return,도착하다,到着する、着く,Arrive,존경하다,尊敬する,respect,모이다,集まる,Gather/Assemble,기억하다,記憶する、憶える,Remember,음악을 듣고 있어요.,音楽を聴いています。,I am listening to music.,きく
어떻습니까?,どうですか,How Is It?,꺼내다,取り出す,Take Out,그치다,終わる、止む,End,올려놓다,乗せる,Place On Top,미안합니다,すみません,I'm Sorry (formal),갖다,持つ,Have/Carry,친하다,親しい,Close,결정하다,決定する,Decide,부드럽다,柔らかい,Soft,이 옷은 어떻습니까?,この服はどうですか？,How is this dress?,どうですか
무겁다,重い,Heavy,갖다,持つ,Have/Carry,불편하다,不便だ,Uncomfortable,슬퍼하다,悲しむ,Grieve,기다리다,待つ,Wait,감사드립니다,ありがとうございます,Thank you very much,얇다,薄い,Thin,복잡하다,複雑だ、混雑している,Complex/Crowded,차갑다,冷たい,Cold,이 상자는 너무 무거워요.,この箱はとても重いです。,This box is very heavy.,おもい
졸업하다,卒業する,Graduate,지다,負ける,Lose,말씀하다,お話する、おっしゃる,Speak (honorific),적다,少ない,Few/Write Down,돌아오다,帰って来る,Return,반갑다,嬉しい,Glad/Pleased,치료하다,治療する,Treat,켜다,つける,Turn On,붙이다,つける,Attach,대학교를 졸업했어요.,大学を卒業しました。,I graduated from college.,そつぎょうする
